listing_id,url,title,description,purchase_price,market_median,quick_sale_price,total_investment,net_profit,roi,liquidity,confidence,condition,deal_score,status,financial_hot_scenario_a,financial_hot_scenario_b,hard_filter_result,manual_flags,decision_reasons,confidence_causes,condition_diagnostic_group,missing_quick_sale_cause,baseline_status
bazos:221629067,https://sport.bazos.cz/inzerat/221629067/prodam-divci-kolo-author.php,Prodám dívčí kolo Author - SLEVA: 5 300,"Prodám kolo Author A-Martix 26, modelový rok 2020, určeno pro výšku 130-155 cm.
Duralový rám, přední odpružená vidlice, počet převodů 3x6.
Kolo je funkční, udržované, servisované, ihned k použití. Kolo dávám včetně stojanu za 5300 Kč,v ceně dávám ...",5300.0,,,5830.0,,,unknown:None,low:35,good,45.83,REJECT,False,False,excluded:hard_filter_kids_bike,critical_valuation_status|low_market_confidence|quick_sale_price_missing,Детский велосипед исключён существующей политикой проекта.,duplicate_only_results|no_unique_comparables,unrecognized_positive_condition_phrase,duplicate_only_results,MANUAL_REVIEW
bazos:221629458,https://sport.bazos.cz/inzerat/221629458/scott-aspect-740-vel-ramu-l-kola-275.php,"Scott Aspect 740, vel. rámu - L, kola 27,5: 5 000","Prodám horské kolo Scott Aspect 740, kola 27,5, velikost rámu je L. 27 rychlostí (3x9).první a jediny majitel,ve velmi dobrém stavu, vše funkční, před cca 150km nový řetěz,kazeta a přehazovačka. Cena 5000Kč. Osobní odběr Velvary. ...",5000.0,4600.0,3900.0,5500.0,-1600.0,-29.09,low:37,low:35,good,24.15,REJECT,False,False,pass,low_market_confidence,Чистая прибыль -1600 Kč не является положительной.,one_source|foreign_market,,,REJECT
bazos:221631218,https://sport.bazos.cz/inzerat/221631218/eloodpruzene-horske-kolo-scott-spark-50.php,Сeloodpružené horské kolo Scott Spark 50: 13 000,"Prodám celoodpružené horské kolo Scott Spark 50. Kolo je v ideálním stavu, zachovalé, čisté a připravené na okamžité vyjetí. Vše funguje na 100 %. Průměr kol 26""(obuto na kvalitních pláštích Schwalbe). Přední vidlice RockShox (vzduchová, uzamykatelná ...",13000.0,108500.0,92000.0,14300.0,77700.0,543.36,low:33,low:35,good,73.35,MANUAL_REVIEW,True,True,pass,low_market_confidence|purchase_price_outlier,Оценка рынка этапа 2.1 имеет низкую уверенность. | Цена покупки является подозрительно низким рыночным выбросом.,one_source|weak_model_match|large_price_spread|foreign_market,unrecognized_positive_condition_phrase,,MANUAL_REVIEW
bazos:221632082,https://sport.bazos.cz/inzerat/221632082/detske-kolo-ghost-powerkid-24-na-8-11-let.php,"Dětské kolo Ghost Powerkid 24"" na 8-11 let: 2 990","Velmi lehký aluminiový rám, osazení Shimano Altus, výborný technický stav po servisu, zánovní pláště. ...",2990.0,,,3289.0,,,unknown:None,low:35,good,45.83,REJECT,False,False,excluded:hard_filter_kids_bike,critical_valuation_status|low_market_confidence|quick_sale_price_missing,Детский велосипед исключён существующей политикой проекта.,no_unique_comparables,,no_matching_comparables,MANUAL_REVIEW
bazos:221632114,https://sport.bazos.cz/inzerat/221632114/detske-kolo-author-ultima-odlehcene-24-8-11-ler.php,"Dětské kolo Author Ultima - odlehčené 24"" 8-11 ler: 2 990","Velmi lehký aluminiový rám, osazení Shimano, výborný technický stav po servisu, oděrky z provozu. ...",2990.0,,,3289.0,,,unknown:None,low:35,good,45.83,REJECT,False,False,excluded:hard_filter_kids_bike,critical_valuation_status|low_market_confidence|quick_sale_price_missing,Детский велосипед исключён существующей политикой проекта.,no_unique_comparables,,no_matching_comparables,MANUAL_REVIEW
bazos:221632205,https://sport.bazos.cz/inzerat/221632205/damske-horske-kolo-author-pegas-asl-275.php,"Dámské horské kolo Author Pegas ASL 27,5: 8 000","Prodám růžové dámské horské kolo. Skladované v garáži, top stav.Jela jsem na něm jen několikrát. Prodávám z důvodu nevyužití.
Výbava:
odpružené vidlice, hydraulické kotoučové brzdy,blatníky, zadní nosič, stojánek, držák na láhev, tachometr.
Po ...",8000.0,11000.0,9400.0,8800.0,600.0,6.82,low:39,medium:65,excellent,36.13,LOW_PRIORITY,False,False,pass,,"Прибыль положительная, но финансовые показатели ниже порогов интересной сделки.",,,,LOW_PRIORITY
bazos:221633652,https://sport.bazos.cz/inzerat/221633652/giant-atx-26-xs-minimalne-jezdene-vyborny-stav.php,"Giant ATX 26” XS – minimálně ježděné, výborný stav: 5 490","Prodám horské kolo Giant ATX 26”, velikost rámu XS.
Kolo bylo koupeno jako nové v roce 2023 a je ve výborném stavu. Bylo používáno pouze přibližně 3x jeden týden na letním biatlonovém soustředění, jinak bylo uložené doma. Je plně funkční, čisté a př ...",5490.0,,,6039.0,,,unknown:None,low:35,excellent,57.5,MANUAL_REVIEW,False,False,pass,critical_valuation_status|low_market_confidence|quick_sale_price_missing,Этап 2.1 не вернул цену быстрой продажи. | Оценка рынка этапа 2.1 имеет низкую уверенность. | Статус оценки рынка требует проверки: duplicate_only_results.,duplicate_only_results|no_unique_comparables,,duplicate_only_results,MANUAL_REVIEW
bazos:221634518,https://sport.bazos.cz/inzerat/221634518/kross-evado-40-28-jako-nove-2-pouzite.php,"Kross Evado 4.0 28” – jako nové, 2× použité: 5 000","Prodám dámské krosové kolo Kross Evado 4.0 na 28” kolech. Kolo bylo použito pouze 2×, poté bylo celou dobu uskladněno v suché garáži. Je ve výborném stavu, plně funkční a připravené k jízdě.
Výbava:
* hliníkový rám
* odpružená vidlice SR Sunto ...",5000.0,,,5500.0,,,unknown:None,low:35,good,52.5,MANUAL_REVIEW,False,False,pass,critical_valuation_status|low_market_confidence|quick_sale_price_missing,Этап 2.1 не вернул цену быстрой продажи. | Оценка рынка этапа 2.1 имеет низкую уверенность. | Статус оценки рынка требует проверки: no_matching_comparables.,no_unique_comparables,unrecognized_positive_condition_phrase,no_matching_comparables,MANUAL_REVIEW
bazos:221634938,https://sport.bazos.cz/inzerat/221634938/giant-trance-2-ge-velikost-m.php,Giant Trance 2 GE  Velikost M: 30 000,"Prodám lehké celoodpružené kolo Giant Trance 2 GE
Stav nový a funkční, párkrát ježděné velikost kol 27,5 , váha 14kg
super na traily i na silnici.
Pouze osobní předání.
Po domluvě sleva.
Rám ALUXX SL Aluminum, zdvih 140 mm, odpružení Maestro ...",30000.0,,,33000.0,,,unknown:None,low:35,unknown,37.5,MANUAL_REVIEW,False,False,pass,condition_unknown|critical_valuation_status|low_market_confidence|quick_sale_price_missing,Этап 2.1 не вернул цену быстрой продажи. | Состояние велосипеда не подтверждено описанием. | Оценка рынка этапа 2.1 имеет низкую уверенность. | Статус оценки рынка требует проверки: duplicate_only_results.,duplicate_only_results|no_unique_comparables,photos_but_no_textual_condition,duplicate_only_results,MANUAL_REVIEW
bazos:221635130,https://sport.bazos.cz/inzerat/221635130/horske-kolo-trek-marlin-7.php,Horské Kolo TREK Marlin 7: 3 000,"Prodám horské kolo TREK Marlin 7 ve velice dobrém stavu. Velikost 15,5"" (viz foto). Kola 27,5 x 2,20 (viz foto). ...",3000.0,16000.0,13600.0,3300.0,10300.0,312.12,low:39,low:35,good,73.55,MANUAL_REVIEW,True,True,pass,low_market_confidence|purchase_price_outlier|stage_1_2_manual_risk,Оценка рынка этапа 2.1 имеет низкую уверенность. | Предварительный анализ содержит причину для ручной проверки. | Цена покупки является подозрительно низким рыночным выбросом.,one_source|large_price_spread,unrecognized_positive_condition_phrase,,MANUAL_REVIEW
